  Registered nvfp4_bench::_scaled_mm
Total configurations to benchmark: 502
Unique M values: 251
Saved: benchmark_figures_deepseek/benchmark_m98976_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m130608_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m94408_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m64896_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m83576_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m102264_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m90384_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m87112_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m118448_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m98880_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m111840_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m106184_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m100696_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m98672_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m144960_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m101296_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m85544_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m115392_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m99080_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m93624_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m114680_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m138144_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m102112_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m97336_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m97768_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m98576_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m126104_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m106944_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m102816_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m67840_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m88712_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m45720_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m98296_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m81664_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m42736_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m100864_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m84264_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m74816_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m87792_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m97504_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m105160_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m97816_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m93688_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m96008_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m94984_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m93872_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m79360_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m83208_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m102264_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m131840_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m96008_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m73208_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m89488_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m38776_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m90760_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m125024_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m67216_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m74880_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m121056_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m91200_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m50512_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m96656_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m157496_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m120464_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m93288_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m73736_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m79632_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m107224_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m94496_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m104880_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m128904_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m66424_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m99616_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m90776_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m80528_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m121936_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m99952_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m83376_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m101552_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m96488_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m69448_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m99616_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m113800_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m98008_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m117448_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m101712_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m100264_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m87680_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m106096_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m99128_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m84552_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m100400_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m104824_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m96104_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m98648_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m81416_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m106688_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m151744_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m140416_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m102296_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m90464_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m106688_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m91472_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m107056_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m102816_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m74448_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m72840_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m86936_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m103920_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m96848_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m66248_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m93528_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m101784_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m94496_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m75456_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m118448_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m66176_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m75144_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m118160_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m78920_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m81520_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m101688_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m83208_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m67448_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m95112_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m116168_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m102616_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m94192_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m112232_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m50512_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m74448_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m100536_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m125656_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m104280_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m100840_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m126048_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m74880_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m87352_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m100528_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m83832_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m120088_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m98192_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m99000_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m87952_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m94344_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m73384_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m84552_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m105960_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m96208_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m127224_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m97864_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m82552_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m115568_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m121936_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m99968_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m101296_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m93792_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m96672_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m88496_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m121032_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m68024_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m77504_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m106432_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m86936_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m55432_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m120088_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m103128_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m93528_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m99424_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m63752_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m81968_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m74160_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m71456_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m40496_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m82664_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m96672_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m85544_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m64280_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m99080_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m99296_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m97072_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m37056_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m87248_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m101504_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m97768_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m105160_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m77216_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m123688_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m127224_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m127208_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m97696_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m65000_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m12384_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m90464_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m85536_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m86832_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m37056_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m98848_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m86464_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m102400_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m89344_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m103112_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m98568_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m136320_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m92560_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m127208_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m60752_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m101552_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m87176_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m69448_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m97224_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m96864_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m81272_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m120464_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m129584_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m118472_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m128904_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m97296_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m80600_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m104800_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m81096_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m120560_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m98808_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m97296_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m102112_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m121496_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m85800_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m97224_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m93880_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m109688_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m94408_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m101344_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m130608_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m64896_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m82960_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m98760_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m96488_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m94112_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m89704_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m100264_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m98256_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m87680_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m99128_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m116568_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m87928_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m100464_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m83576_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m113576_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m104824_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m90496_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m97336_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m73208_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m67448_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m87256_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m151744_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m108616_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m67840_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m98576_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m139872_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m97440_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m102624_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m98296_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m30928_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m45720_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m106096_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m92024_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m87840_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m74816_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m97504_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m91744_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m98976_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m84264_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m103128_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m76176_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m100696_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m75456_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m125024_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m111840_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m75144_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m131840_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m86112_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m81520_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m136320_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m105960_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m72928_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m93872_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m89232_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m93624_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m88712_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m87112_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m98008_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m99968_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m100464_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m106944_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m157496_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m96864_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m118160_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m95704_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m101344_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m87792_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m104880_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m55248_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m94984_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m120560_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m90776_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m81968_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m93688_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m103928_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m98672_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m79632_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m107056_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m87352_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m91880_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m101712_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m100864_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m89488_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m103920_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m40496_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m140416_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m67080_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m93792_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m99296_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m121032_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m121056_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m73736_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m101504_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m98648_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m71144_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m73384_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m81416_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m81664_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m121912_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m87256_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m85064_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m101688_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m66248_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m82928_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m87840_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m109240_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m90416_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m106408_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m76176_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m67080_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m115392_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m55248_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m128400_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m55432_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m126104_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m66176_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m78920_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m102400_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m63752_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m102616_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m112232_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m139872_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m100840_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m87176_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m128344_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m114664_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m104280_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m86464_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m102296_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m126048_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m91472_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m97000_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m80528_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m99000_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m129936_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m90416_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m85064_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m144960_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m72840_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m60752_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m42736_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m38776_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m94344_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m107224_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m82928_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m84856_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m83832_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m98880_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m101784_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m87952_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m128344_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m99424_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m138144_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m81256_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m79360_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m71144_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m82552_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m117448_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m85536_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m81272_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m103640_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m67216_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m100536_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m96656_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m126488_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m129584_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m77504_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m106432_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m121912_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m164816_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m98760_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m100528_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m94192_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m109752_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m98192_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m108616_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m116568_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m66424_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m93880_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m99952_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m96104_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m88104_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m96848_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m97072_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m94112_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m71456_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m113800_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m125656_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m164816_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m113576_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m54520_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m65000_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m118472_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m88496_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m87248_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m106184_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m86112_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m82752_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m97000_n2048.png
Saved: benchmark_figures_deepseek/benchmark_m128400_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m85800_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m89344_n1408.png
Saved: benchmark_figures_deepseek/benchmark_m97816_n2048.png
